"","First.Name","Last.Name","Age","Rank","Classification","Date.of.Incident","Date.of.Death","Cause.Of.Death","Nature.Of.Death","Duty","Activity","Emergency","Property.Type","Year"
"1109","Robert","Whittaker",55,"Firefighter","Volunteer","Nov 14, 2006","Nov 14, 2006","Stress/Overexertion","Heart Attack","Response","Vehicle Driver","Yes","Residential"," 2006"
"1110","Michael","Browne",24,"Firefighter/EMT-B","Volunteer","Nov 16, 2006","Nov 16, 2006","Impact","Trauma","Response","Other","Yes","Street/Road"," 2006"
"1111","Hector","McClune",76,"Firefighter","Volunteer","Nov 26, 2006","Nov 26, 2006","Stress/Overexertion","Heart Attack","On-Scene Fire","Unknown","Yes","Outdoor Property"," 2006"
"1112","Thomas","Van Liew",20,"Acting Lieutenant","Career","Nov 28, 2006","Nov 28, 2006","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Store/Office"," 2006"
"1113","Steven","Solomon",33,"Firefighter","Career","Nov 23, 2006","Nov 29, 2006","Trapped","Burns","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2006"
"1114","Jeffrey","Hollingsworth",38,"Deputy Chief","Volunteer","Nov 30, 2006","Nov 30, 2006","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Outdoor Property"," 2006"
"1115","Kent","Long",44,"Firefighter II","Career","Dec 1, 2006","Dec 1, 2006","Stress/Overexertion","Heart Attack","Training","Fitness Activity","No","Store/Office","2006"
"1116","Leo","Soderquist",64,"Firefighter","Volunteer","Dec 1, 2006","Dec 1, 2006","Stress/Overexertion","Heart Attack","On-Duty","Other","Yes","Residential","2006"
"1117","Thomas","Hays",25,"Firefighter","Volunteer","Dec 7, 2006","Dec 8, 2006","Stress/Overexertion","Heart Attack","On-Duty","Unknown","No","Store/Office","2006"
"1118","Edward","Wilburn",64,"Firefighter/President","Volunteer","Dec 9, 2006","Dec 9, 2006","Stress/Overexertion","Heart Attack","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road","2006"
"1119","Cecil","Tackett, Jr.",28,"Firefighter","Volunteer","Dec 28, 2006","Dec 28, 2006","Vehicle Collision","Trauma","On-Duty","Personal Vehicle Driver/Passenger","No","Street/Road"," 2006"
"1120","Stephen","Jones",56,"Firefighter","Volunteer","Dec 29, 2006","Dec 29, 2006","Stress/Overexertion","Heart Attack","On-Duty","Personal Vehicle Driver/Passenger","No","Street/Road"," 2006"
"1121","Phillip","Townsend",31,"Firefighter","Career","Dec 30, 2006","Dec 30, 2006","Collapse","Trauma","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office"," 2006"
"1122","Sidney","Hall",52,"Firefighter","Volunteer","Jan 3, 2007","Jan 5, 2007","Collapse","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential","2007"
"1123","Jeremy","Adams",40,"Fire Chief","Career","Jan 9, 2007","Jan 16, 2007","Impact","Trauma","On-Scene Fire","Support","Yes","Residential"," 2007"
"1124","Daryl","Mutton",47,"Captain","Volunteer","Jan 19, 2007","Jan 19, 2007","Stress/Overexertion","Heart Attack","On-Duty","Personal Vehicle Driver/Passenger","Yes","Residential"," 2007"
"1125","Kevin","Reed",47,"Lieutenant","Career","Jan 20, 2007","Jan 20, 2007","Stress/Overexertion","Heart Attack","On-Duty","Fitness Activity","No","N/A"," 2007"
"1126","Kenneth","Fahey",35,"Forestry Technician","Wildland Full-Time","Jan 25, 2007","Jan 25, 2007","Vehicle Collision","Trauma","On-Duty","Vehicle Driver","No","Street/Road"," 2007"
"1127","Shane","Daughetee",24,"Firefighter","Volunteer","Jan 26, 2007","Jan 26, 2007","Collapse","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2007"
"1128","Frederick","Burroughs",51,"Captain","Volunteer","Jan 30, 2007","Jan 30, 2007","Impact","Trauma","On-Scene Emergency","Scene Safety","Yes","Store/Office"," 2007"
"1129","Craig","Dorsey, II",24,"Firefighter-EMT","Part-Time (Paid)","Jan 30, 2007","Jan 30, 2007","Impact","Trauma","On-Scene Fire","Scene Safety","Yes","Store/Office"," 2007"
"1130","Anthony","Catania",76,"Fire Commissioner & Safety Officer","Volunteer","Jan 28, 2007","Feb 2, 2007","Stress/Overexertion","Stroke","Response","Personal Vehicle Driver/Passenger","Yes","Residential","2007"
"1131","Michael","Fox",37,"Firefighter","Volunteer","Feb 2, 2007","Feb 2, 2007","Stress/Overexertion","Heart Attack","Response","Vehicle Driver","Yes","Street/Road","2007"
"1132","Robert","Hegney Sr.",53,"Lieutenant","Volunteer","Feb 1, 2007","Feb 3, 2007","Stress/Overexertion","Heart Attack","On-Duty","Standby","No","Residential","2007"
"1133","Shane","King",29,"Firefighter","Career","Feb 3, 2007","Feb 3, 2007","Vehicle Collision","Trauma","Training","Personal Vehicle Driver/Passenger","No","Street/Road","2007"
"1134","Jeremy","LaBella",27,"Firefighter","Career","Feb 4, 2007","Feb 4, 2007","Collapse","Trauma","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office","2007"
"1135","John","Broom-Smith",44,"Firefighter","Volunteer","Feb 4, 2007","Feb 4, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Store/Office","2007"
"1136","Joseph","Torkos",47,"Fire Engineer Operator","Career","Feb 7, 2007","Feb 7, 2007","Vehicle Collision","Trauma","Response","Vehicle Driver","Yes","Residential","2007"
"1137","Racheal","Wilson",29,"Firefighter-Paramedic Apprentice","Career","Feb 9, 2007","Feb 9, 2007","Trapped","Burns","Training","Advance Hose Lines/Fire Attack","No","Residential","2007"
"1138","Jeffrey","Murray",40,"Firefighter","Volunteer","Feb 13, 2007","Feb 13, 2007","Stress/Overexertion","Heart Attack","On-Duty","Standby","No","Store/Office"," 2007"
"1139","Theodore ","Abriel",44,"Firefighter","Career","Feb 19, 2007","Feb 19, 2007","Stress/Overexertion","Heart Attack","On-Scene Fire","Search and Rescue","Yes","Residential"," 2007"
"1140","Steven","Vanderpool Jr.",28,"Firefighter","Volunteer","Feb 11, 2007","Feb 24, 2007","Vehicle Collision","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road"," 2007"
"1141","Paul","Reynolds, SR.",41,"Firefighter - EMT","Career","Feb 27, 2007","Feb 27, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Residential"," 2007"
"1142","Michael","Sowich",50,"Firefighter","Volunteer","Mar 2, 2007","Mar 2, 2007","Unknown","Unknown","Training","Other","No","Institutional","2007"
"1143","Eddy","Ivers",59,"Fire Chief","Volunteer","Mar 13, 2007","Mar 13, 2007","Stress/Overexertion","Heart Attack","Return","Vehicle Driver","No","Outdoor Property"," 2007"
"1144","Lucien","Breaux",60,"Captain","Career","Mar 17, 2007","Mar 17, 2007","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","Store/Office"," 2007"
"1145","William","Grant",44,"Firefighter","Career","Mar 23, 2007","Mar 23, 2007","Vehicle Collision","Trauma","Response","Vehicle Passenger","Yes","Street/Road"," 2007"
"1146","Billy","Williams",45,"Firefighter","Volunteer","Mar 24, 2007","Mar 24, 2007","Vehicle Collision","Trauma","Response","Vehicle Driver","Yes","Street/Road"," 2007"
"1147","Brandon","Whimple",19,"Firefighter","Volunteer","Mar 24, 2007","Mar 24, 2007","Vehicle Collision","Trauma","Response","Vehicle Passenger","Yes","Street/Road"," 2007"
"1148","Steve","Olinik Jr.",65,"Firefighter","Volunteer","Mar 29, 2007","Mar 30, 2007","Stress/Overexertion","Heart Attack","Response","Standby","Yes","N/A"," 2007"
"1149","Edgar","Scott",75,"Fire Police Captain","Volunteer","Apr 3, 2007","Apr 3, 2007","Vehicle Collision","Trauma","Response","Vehicle Driver","Yes","Street/Road","2007"
"1150","Christopher","Jaros",24,"Firefighter","Volunteer","Apr 7, 2007","Apr 7, 2007","Vehicle Collision","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road","2007"
"1151","Bryan","Zollner",44,"Staff Chief of Operations","Career","Apr 12, 2007","Apr 12, 2007","Vehicle Collision","Trauma","On-Duty","Vehicle Driver","No","Street/Road"," 2007"
"1152","Kyle","Wilson",24,"Firefighter - Technician One","Career","Apr 16, 2007","Apr 16, 2007","Trapped","Burns","On-Scene Fire","Search and Rescue","Yes","Residential"," 2007"
"1153","Billy","Gafford",56,"Captain / Paramedic","Career","Apr 25, 2007","Apr 25, 2007","Stress/Overexertion","Heart Attack","Training","Fitness Activity","No","Outdoor Property"," 2007"
"1154","George ","Davidson, III",58,"Firefighter/Training Officer","Wildland Contract","Apr 24, 2007","Apr 25, 2007","Stress/Overexertion","Heart Attack","Training","Incident Command","No","Institutional"," 2007"
"1155","Joe","Ivy",51,"Captain","Career","Apr 28, 2007","Apr 28, 2007","Stress/Overexertion","Heart Attack","Training","Other","No",""," 2007"
"1156","Vernon","McKenzie",64,"Firefighter","Volunteer","Apr 28, 2007","Apr 28, 2007","Stress/Overexertion","Heart Attack","Training","Fitness Activity","No","Outdoor Property"," 2007"
"1157","William","Church Sr",63,"Fire Police Captain","Volunteer","May 3, 2007","May 3, 2007","Stress/Overexertion","Heart Attack","On-Duty","Vehicle Driver","Yes","Store/Office","2007"
"1158","Bruce","Zumwalt",54,"Firefighter","Volunteer","May 6, 2007","May 6, 2007","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Outdoor Property","2007"
"1159","Peter","Beebe-Lawson",50,"Firefighter","Volunteer","May 7, 2007","May 7, 2007","Vehicle Collision","Trauma","Response","Vehicle Driver","Yes","Street/Road","2007"
"1160","Ottis","Stephenson Jr",61,"Firefighter","Volunteer","May 8, 2007","May 9, 2007","Stress/Overexertion","Heart Attack","On-Duty","Unknown","No","Residential","2007"
"1161","Jeffrey","Jeans",46,"Firefighter-EMT","Volunteer","May 11, 2007","May 11, 2007","Stress/Overexertion","Heart Attack","Training","Other","No","Store/Office"," 2007"
"1162","Brandon","Daley",19,"Firefighter","Volunteer","May 11, 2007","May 12, 2007","Vehicle Collision","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Residential"," 2007"
"1163","Edward","Andrews IV",53,"Fire Captain","Career","May 14, 2007","May 14, 2007","Stress/Overexertion","Heart Attack","Training","Fitness Activity","No","Outdoor Property"," 2007"
"1164","Joseph","Piazzi",76,"Deputy Chief & Fire Police Captain","Volunteer","May 16, 2007","May 16, 2007","Stress/Overexertion","Heart Attack","Response","Other","Yes","Residential"," 2007"
"1165","Dennis","Cheshire",48,"Firefighter","Volunteer","May 20, 2007","May 20, 2007","Vehicle Collision","Trauma","Response","Vehicle Driver","Yes","Street/Road"," 2007"
"1166","John","Keane",37,"Captain","Career","May 19, 2007","May 22, 2007","Vehicle Collision","Trauma","Response","Vehicle Passenger","Yes","Street/Road"," 2007"
"1167","Bradley","Green",53,"Firefighter","Volunteer","May 25, 2007","May 25, 2007","Stress/Overexertion","Heart Attack","On-Scene Emergency","Standby","Yes","Street/Road"," 2007"
"1168","Felix","Roberts",41,"Firefighter II","Career","May 28, 2007","May 28, 2007","Trapped","Suffocation","On-Scene Fire","Search and Rescue","Yes","Residential"," 2007"
"1169","David","Middleton",38,"Firefighter","Career","May 28, 2007","May 28, 2007","Stress/Overexertion","Heart Attack","On-Duty","Unknown","Yes","Residential"," 2007"
"1170","Henry","Pitts Jr",56,"Lieutenant","Career","May 28, 2007","Jun 1, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Outdoor Property","2007"
"1171","Mark","Carter",53,"Engineer/Paramedic","Career","Jun 4, 2007","Jun 4, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Store/Office","2007"
"1172","David","Rufer",42,"Firefighter","Paid-on-Call","Jun 12, 2007","Jun 12, 2007","Stress/Overexertion","Heart Attack","Training","Other","No","Store/Office"," 2007"
"1173","William","Hutchinson",48,"Captain","Career","Jun 18, 2007","Jun 18, 2007","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office"," 2007"
"1174","Theodore","Benke",49,"Captain","Career","Jun 18, 2007","Jun 18, 2007","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office"," 2007"
"1175","Louis","Mulkey",34,"Captain","Career","Jun 18, 2007","Jun 18, 2007","Trapped","Suffocation","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2007"
"1176","Mark","Kelsey",40,"Engineer","Career","Jun 18, 2007","Jun 18, 2007","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office"," 2007"
"1177","Bradford","Baity",37,"Engineer","Career","Jun 18, 2007","Jun 18, 2007","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office"," 2007"
"1178","Michael","French",27,"Assistant Engineer","Career","Jun 18, 2007","Jun 18, 2007","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office"," 2007"
"1179","James","Drayton",56,"Firefighter","Career","Jun 18, 2007","Jun 18, 2007","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office"," 2007"
"1180","Brandon","Thompson",27,"Firefighter","Career","Jun 18, 2007","Jun 18, 2007","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office"," 2007"
"1181","Melven","Champaign",46,"Firefighter","Career","Jun 18, 2007","Jun 18, 2007","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office"," 2007"
"1182","Daniel","Pujdak",23,"Firefighter","Career","Jun 21, 2007","Jun 21, 2007","Fall","Trauma","On-Scene Fire","Ventilation","Yes","Residential"," 2007"
"1183","Timothy","Sanborn",56,"Firefighter","Volunteer","Jun 22, 2007","Jun 22, 2007","Stress/Overexertion","Heart Attack","On-Scene Fire","Pump Operations","Yes","Residential"," 2007"
"1184","Edward","Summers",69,"Firefighter","Volunteer","Jun 28, 2007","Jun 28, 2007","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","Store/Office"," 2007"
"1185","Samuel","Downing",45,"Captain","Career","Jun 30, 2007","Jun 30, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Residential"," 2007"
"1186","Dennise","Leslie",37,"Firefighter","Volunteer","Jul 2, 2007","Jul 2, 2007","Vehicle Collision","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road","2007"
"1187","Ronald","Wiley",47,"Deputy Fire Marshal","Career","Jul 2, 2007","Jul 2, 2007","Vehicle Collision","Trauma","On-Duty","Vehicle Driver","No","Street/Road","2007"
"1188","Michael","Penovich",38,"Fire Chief","Career","Jul 5, 2007","Jul 5, 2007","Vehicle Collision","Drowning","On-Duty","Vehicle Driver","No","Outdoor Property","2007"
"1189","Eric","Lyons",38,"Firefighter","Career","Jul 5, 2007","Jul 5, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Store/Office","2007"
"1190","James","McRae III",34,"Firefighter Technician","Career","Jul 7, 2007","Jul 7, 2007","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","N/A","2007"
"1191","Michael","Douthitt",48,"Driver/Engineer","Career","Jul 2, 2007","Jul 13, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Residential"," 2007"
"1192","Stephen","Dembski",41,"Firefighter","Volunteer","Jul 15, 2007","Jul 15, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Residential"," 2007"
"1193","Matthew","Burton",34,"Captain","Career","Jul 21, 2007","Jul 21, 2007","Trapped","Burns","On-Scene Fire","Search and Rescue","Yes","Residential"," 2007"
"1194","Scott","Desmond",37,"Fire Engineer","Career","Jul 21, 2007","Jul 21, 2007","Trapped","Burns","On-Scene Fire","Search and Rescue","Yes","Residential"," 2007"
"1195","Dennis","Davis",61,"Pilot","Wildland Contract","Jul 23, 2007","Jul 23, 2007","Vehicle Collision","Trauma","On-Scene Fire","Vehicle Driver","Yes","Outdoor Property"," 2007"
"1196","Jon","Trainer",38,"Firefighter","Volunteer","Jul 24, 2007","Jul 24, 2007","Fall","Trauma","On-Duty","In-Station Duties","No","Residential"," 2007"
"1197","Cornelius","Nolton",37,"Firefighter","Career","Jul 23, 2007","Jul 25, 2007","Stress/Overexertion","Heart Attack","On-Scene Fire","Support","Yes","Residential"," 2007"
"1198","James","Miller",43,"Fire Fighter","Volunteer","Jul 27, 2007","Jul 27, 2007","Impact","Trauma","On-Scene Fire","Other","Yes","Street/Road"," 2007"
"1199","Nemeth","Sanders",43,"Forest Fire Equipment Operator","Wildland Full-Time","Jul 27, 2007","Jul 27, 2007","Vehicle Collision","Trauma","Training","Vehicle Driver","No","Street/Road"," 2007"
"1200","Kevin","Williams",42,"Captain","Volunteer","Aug 3, 2007","Aug 3, 2007","Trapped","Burns","On-Scene Fire","Ventilation","Yes","Residential","2007"
"1201","Austin","Cheek",19,"Firefighter","Volunteer","Aug 3, 2007","Aug 3, 2007","Trapped","Burns","On-Scene Fire","Ventilation","Yes","Residential","2007"
"1202","Gerald","Donley Jr",45,"Deputy Fire Chief","Career","Aug 8, 2007","Aug 8, 2007","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","Store/Office","2007"
"1203","Paul","Baker",39,"Lieutenant","Volunteer","Aug 10, 2007","Aug 10, 2007","Fall","Trauma","On-Scene Emergency","Support","Yes","Street/Road"," 2007"
"1204","Todd","Hage",43,"FIREFIGHTER","Volunteer","Aug 11, 2007","Aug 11, 2007","Vehicle Collision","Trauma","Response","Vehicle Driver","Yes","Street/Road"," 2007"
"1205","Anthony","Cox",44,"Captain","Career","Aug 13, 2007","Aug 13, 2007","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2007"
"1206","Michael","Heuer",55,"Fire Chief","Volunteer","Aug 15, 2007","Aug 14, 2007","Stress/Overexertion","Heart Attack","On-Scene Emergency","Extrication","Yes","Outdoor Property"," 2007"
"1207","Glenn","Miller",34,"Probationary Firefighter","Volunteer","Aug 14, 2007","Aug 17, 2007","Stress/Overexertion","Heart Attack","Training","Unknown","No","Educational"," 2007"
"1208","Robert","Beddia",53,"Firefighter","Career","Aug 18, 2007","Aug 18, 2007","Disorientation","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Vacant Property"," 2007"
"1209","Joseph","Graffagnino",33,"Firefighter","Career","Aug 18, 2007","Aug 18, 2007","Disorientation","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Vacant Property"," 2007"
"1210","Jeffrey","Swartz",36,"Firefighter","Volunteer","Aug 19, 2007","Aug 19, 2007","Vehicle Collision","Suffocation","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road"," 2007"
"1211","Mansell","Hopper",74,"Forestry Aide 2","Career","Aug 24, 2007","Aug 24, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Outdoor Property"," 2007"
"1212","Paul","Cahill",55,"Firefighter","Career","Aug 29, 2007","Aug 29, 2007","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office"," 2007"
"1213","Warren","Payne",53,"Firefighter","Career","Aug 29, 2007","Aug 29, 2007","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Store/Office"," 2007"
"1214","George","Crotts Jr",70,"Engineer","Volunteer","Sep 8, 2007","Sep 9, 2007","Fall","Trauma","On-Duty","Other","No","Store/Office","2007"
"1215","Jared","Zimmerly",20,"Firefighter","Volunteer","Sep 9, 2007","Sep 9, 2007","Vehicle Collision","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road","2007"
"1216","Michael","Stanfield",30,"Captain","Volunteer","Sep 10, 2007","Sep 10, 2007","Vehicle Collision","Trauma","Return","Personal Vehicle Driver/Passenger","No","Street/Road"," 2007"
"1217","Leonard","Bailey Jr",56,"Fire Chief","Volunteer","Sep 12, 2007","Sep 12, 2007","Stress/Overexertion","Heart Attack","On-Scene Fire","Incident Command","Yes","Store/Office"," 2007"
"1218","Jerry","Stucker",53,"Firefighter-EMT","Industrial","Sep 14, 2007","Sep 14, 2007","Stress/Overexertion","Heart Attack","On-Scene Emergency","Water Supply","Yes","Industrial"," 2007"
"1219","Kelly","Page",38,"Firefighter","Career","Sep 14, 2007","Sep 14, 2007","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","Store/Office"," 2007"
"1220","William","McDaniels, Sr.",51,"Fire Police Captain","Volunteer","Sep 15, 2007","Sep 15, 2007","Stress/Overexertion","Heart Attack","On-Scene Fire","Scene Safety","Yes","Residential"," 2007"
"1221","Bryon","Johnson",32,"Lieutenant","Career","Sep 24, 2007","Sep 24, 2007","Other","Electrocution","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Outdoor Property"," 2007"
"1222","John","Lietzke",47,"Firefighter","Volunteer","Sep 25, 2007","Sep 25, 2007","Vehicle Collision","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road"," 2007"
"1223","Mike","Reagan Jr",19,"Firefighter","Volunteer","Sep 26, 2007","Sep 29, 2007","Collapse","Trauma","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2007"
"1224","Adam","Cole",24,"Firefighter","Volunteer","Oct 4, 2007","Oct 4, 2007","Vehicle Collision","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Outdoor Property","2007"
"1225","Matthew","Will",30,"Heavy Fire Equipment Operator","Wildland Full-Time","Oct 9, 2007","Oct 9, 2007","Vehicle Collision","Trauma","On-Scene Fire","Vehicle Driver","Yes","Outdoor Property","2007"
"1226","Robert","Phillips",64,"Firefighter","Volunteer","Oct 25, 2007","Oct 26, 2007","Stress/Overexertion","Heart Attack","On-Scene Fire","Pump Operations","Yes","Residential"," 2007"
"1227","Ralph","Cross",73,"Assistant Fire Chief","Volunteer","Oct 27, 2007","Oct 27, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Store/Office"," 2007"
"1228","Scott","Mumm",34,"Lieutenant","Paid-on-Call","Oct 29, 2007","Oct 29, 2007","Stress/Overexertion","Heart Attack","On-Duty","Water Supply","Yes","Outdoor Property"," 2007"
"1229","Jeremy","Wach",31,"Firefighter","Volunteer","Nov 5, 2007","Nov 5, 2007","Collapse","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential","2007"
"1230","Carl","Engdahl",78,"Fire Chief","Volunteer","Nov 12, 2007","Nov 12, 2007","Stress/Overexertion","Heart Attack","On-Scene Fire","Incident Command","Yes","Residential"," 2007"
"1231","Ronny","Bennett",39,"Fire Chief","Volunteer","Nov 13, 2007","Nov 13, 2007","Stress/Overexertion","Heart Attack","Response","Other","Yes","Residential"," 2007"
"1232","Michael","Tluscik Sr",48,"Senior Firefighter","Career","Nov 21, 2007","Nov 21, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Store/Office"," 2007"
"1233","John","Curry",30,"Firefighter","Career","Nov 27, 2007","Nov 27, 2007","Impact","Trauma","Training","Other","No","Outdoor Property"," 2007"
"1234","Jon","Bingham",48,"Assistant Fire Chief","Volunteer","Nov 28, 2007","Nov 30, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Residential"," 2007"
"1235","Alphonse","Germano",60,"First Assistant Chief","Volunteer","Dec 15, 2007","Dec 15, 2007","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","Yes","Store/Office"," 2007"
"1236","Donald","Wallis",68,"Firefighter","Volunteer","Dec 8, 2007","Dec 16, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Store/Office"," 2007"
"1237","Peter","Neilson",74,"Firefighter/Medical First Responder","Volunteer","Dec 17, 2007","Dec 17, 2007","Stress/Overexertion","Heart Attack","On-Scene Emergency","EMS/Patient Care","Yes","Residential"," 2007"
"1238","Raymond","Simonis III",48,"Firefighter","Volunteer","Dec 18, 2007","Dec 19, 2007","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Residential"," 2007"
"1239","Theresa","Lynn",38,"Assistant Captain","Volunteer","Dec 21, 2007","Dec 21, 2007","Vehicle Collision","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road"," 2007"
"1240","Walter","Fagan Jr",48,"Firefighter","Volunteer","Dec 28, 2007","Dec 29, 2007","Stress/Overexertion","Heart Attack","Response","Vehicle Passenger","Yes","Residential"," 2007"
"1241","Paul","Ellington",36,"Firefighter","Volunteer","Jan 1, 2008","Jan 1, 2008","Vehicle Collision","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Residential","2008"
"1242","Donald","Paterson",65,"Firefighter","Volunteer","Jan 1, 2008","Jan 1, 2008","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Outdoor Property","2008"
"1243","John","Martinson",40,"Lieutenant","Career","Jan 3, 2008","Jan 3, 2008","Smoke","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential","2008"
"1244","James","Robeson",50,"Captain","Career","Jan 6, 2008","Jan 6, 2008","Other","Electrocution","On-Scene Fire","Ventilation","Yes","Residential","2008"
"1245","Harvey","Jordan",71,"Firefighter","Volunteer","Jan 7, 2008","Jan 7, 2008","Stress/Overexertion","Heart Attack","Response","Other","Yes","Store/Office","2008"
"1246","Jarrett","Dixon",36,"Fire Apparatus Driver Operator","Career","Jan 9, 2008","Jan 12, 2008","Other","Other","Training","Fitness Activity","No","Store/Office"," 2008"
"1247","Steven","Sullivan",54,"Fire Chief","Volunteer","Jan 10, 2008","Jan 16, 2008","Stress/Overexertion","Stroke","On-Scene Emergency","Search and Rescue","Yes",""," 2008"
"1248","Louis","Berra",49,"Firefighter","Career","Jan 18, 2008","Jan 18, 2008","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","Store/Office"," 2008"
"1249","Robert","McAtee, Sr.",55,"Firefighter","Volunteer","Jan 20, 2008","Jan 20, 2008","Stress/Overexertion","Heart Attack","On-Duty","Support","No","Residential"," 2008"
"1250","Herman","Jones",58,"Lieutenant","Career","Jan 18, 2008","Jan 22, 2008","Stress/Overexertion","Other","On-Duty","Other","Yes","Store/Office"," 2008"
"1251","Christa","Burchett",33,"Assistant Fire Chief/EMS Director","Career","Jan 22, 2008","Jan 22, 2008","Impact","Trauma","On-Scene Emergency","EMS/Patient Care","Yes","Street/Road"," 2008"
"1252","Walter","Walker, Jr.",68,"Fire Chief","Volunteer","Jan 26, 2008","Jan 26, 2008","Vehicle Collision","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road"," 2008"
"1253","Donald","Hubbel",42,"Captain","Career","Feb 1, 2008","Feb 1, 2008","Stress/Overexertion","Heart Attack","On-Duty","Fitness Activity","No","Residential","2008"
"1254","Paul","Swander",73,"Fire Chief","Volunteer","Jan 31, 2008","Feb 2, 2008","Fall","Trauma","On-Duty","In-Station Duties","No","Store/Office","2008"
"1255","David","Sherfick",40,"Captain","Career","Feb 4, 2008","Feb 4, 2008","Vehicle Collision","Trauma","Return","Vehicle Driver","No","Street/Road","2008"
"1256","Matthew","Hubly",43,"Fire Chief","Paid-on-Call","Feb 1, 2008","Feb 7, 2008","Stress/Overexertion","Heart Attack","On-Duty","Other","No","Industrial","2008"
"1257","James","Arthur",19,"Firefighter","Volunteer","Feb 11, 2008","Feb 11, 2008","Vehicle Collision","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road"," 2008"
"1258","Kerry","Sheridan",75,"Fire Chief","Part-Time (Paid)","Feb 12, 2008","Feb 12, 2008","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","Store/Office"," 2008"
